rep,nullA_T,nullB_T,nullA_qSpearman,nullB_qSpearman,nullA_T_d2,nullA_T_d3,nullA_T_d4,nullA_T_d5,nullA_T_d6,nullA_T_d7,nullA_T_d8,nullA_T_d9,nullA_T_d10,nullA_T_d11
97,0.0018,-0.000247,0.028055,0.023849,0.001144,0.004003,0.000135,0.00552,0.002137,0.002532,0.006453,0.000852,0.00379,-0.004841
98,0.003928,-7.2e-05,0.030334,0.024847,0.000212,0.004154,0.001274,0.002956,0.002579,-0.003799,0.004323,0.005977,0.00616,0.006076
99,0.002625,0.00054,0.02906,0.02588,0.00147,0.003316,0.003674,0.002229,0.00224,0.004039,-0.002783,0.0012,0.004832,0.009381
100,0.002712,0.001919,0.028828,0.02538,0.003516,0.000752,0.00198,0.001267,0.002976,0.004984,-0.000989,0.004869,0.004376,0.004956
101,0.002511,-0.00196,0.028721,0.021921,0.001434,0.003581,0.000229,0.003257,0.004241,0.002222,0.000158,0.005882,0.005532,-0.001099
102,0.000283,0.002239,0.028311,0.026356,0.00327,0.001521,0.005492,0.003675,0.001318,0.002167,0.004203,0.002448,0.00111,-0.000785
103,0.001425,0.000703,0.027852,0.022939,0.002649,0.001862,0.005406,-0.000895,0.002844,0.000432,0.002948,0.00526,0.007256,0.006323
104,0.002732,0.002478,0.026998,0.024825,0.003766,0.002792,0.001119,0.003578,0.000338,0.003341,0.004302,0.001877,-0.001851,-0.001037
105,0.002983,-0.001352,0.028961,0.021654,0.002034,0.003433,0.001849,0.004731,0.001825,0.000357,0.00227,0.001225,0.001701,0.002863
106,0.004416,-0.001512,0.028131,0.025464,0.002531,0.000657,-0.00098,0.003702,0.004133,0.00098,0.002644,0.007212,-0.001884,0.00756
107,0.002882,6.5e-05,0.027083,0.024594,0.003169,0.004452,0.003009,0.002144,-0.000547,0.001573,0.005682,-0.002211,-0.000334,0.001172
108,0.003365,0.002342,0.029432,0.024165,0.002399,0.00017,0.003605,0.002735,0.004772,0.001503,0.002568,0.000696,-0.001217,0.006912
109,0.002468,-0.002726,0.028389,0.020344,0.002428,7.8e-05,0.004733,0.002165,0.00623,0.001159,0.001903,-0.00082,0.006748,-0.003524
110,0.000874,0.001007,0.027279,0.025251,0.000263,0.003047,0.002397,0.004074,0.003032,0.001424,0.004831,0.005147,0.006804,0.002499
111,0.002814,0.000136,0.026873,0.02557,0.001927,0.001615,0.002639,0.002584,0.003014,0.003245,0.004287,-0.000345,0.004985,-0.000762
112,0.00276,0.000318,0.030216,0.025828,0.002926,-7.4e-05,0.002137,0.001649,0.003406,0.004272,0.003856,0.000791,0.006595,0.003257
113,0.002314,-0.000229,0.029424,0.023106,0.002909,0.00067,0.000478,0.001485,0.004469,0.003299,0.003559,0.004292,0.00867,0.00105
114,0.001796,-0.000187,0.026832,0.021253,0.001688,0.005515,0.00203,0.002825,0.000446,0.000142,0.007815,-0.002654,-0.000144,0.014829
115,0.003671,-8.5e-05,0.027756,0.024965,0.004218,0.003142,0.001651,0.000513,-0.001211,0.003738,0.003858,0.00225,-0.000813,0.003947
116,0.002346,0.000798,0.028054,0.024324,0.002359,0.003855,0.001639,0.003451,9.2e-05,-0.00167,0.005615,0.000346,0.010332,0.005924
117,0.000792,-0.002591,0.027209,0.023846,0.001378,0.001784,0.003872,0.005335,0.002756,0.001888,0.003653,0.000487,0.00709,0.00051
118,0.005157,0.00137,0.029344,0.024192,8.3e-05,0.0003,0.001998,0.003345,0.004674,0.001844,0.002927,0.002289,0.000693,0.006729
119,0.002636,-0.001095,0.029979,0.022485,0.002989,0.002113,0.001133,0.002694,-0.00063,0.006085,-0.001021,0.003461,0.003745,0.017252
120,0.001791,-0.001357,0.027326,0.026118,0.00201,0.003055,0.002419,0.00372,0.006693,-8.6e-05,-0.000846,0.00186,0.005069,-0.001111
121,0.002932,-0.000755,0.028504,0.021977,0.001155,0.002103,0.003079,0.001327,0.002617,0.004394,-0.000635,0.005503,0.005201,0.004858
122,0.005718,-0.003877,0.03063,0.020905,-0.00027,0.00118,0.001693,0.001262,0.004038,0.000856,0.004357,0.004201,0.002443,0.006985
123,0.002854,0.001029,0.027267,0.022104,0.002754,0.002035,0.003547,0.003518,0.000654,0.000942,0.002744,0.003016,0.005735,-0.006974
124,0.000821,0.000189,0.027432,0.023995,0.002984,0.003312,0.001237,0.002666,0.002847,0.003547,0.004157,0.002431,0.000894,0.005847
125,0.002145,-0.001216,0.026178,0.022578,0.002466,0.002584,0.002443,0.003216,0.003154,0.005587,0.002722,-0.004327,0.001335,0.002829
126,0.000291,0.002029,0.029175,0.025572,0.000861,0.002847,0.002418,0.005737,0.002014,0.005221,0.002121,0.003392,0.004191,0.001557
127,0.001946,0.000582,0.026977,0.023942,0.001743,0.001698,-0.000179,0.002713,0.004979,0.004571,0.002699,0.001524,0.006887,0.010215
128,0.002842,-0.001192,0.028011,0.024067,0.004972,0.002759,-0.000376,0.00329,0.003416,0.00225,-0.001797,-0.001291,0.00403,0.009035
129,0.001655,0.000968,0.028887,0.02355,0.002849,0.00336,0.003352,0.000288,0.001909,0.004391,0.001744,0.000393,0.006239,0.003778
130,0.002724,-0.000941,0.027621,0.026011,0.00173,-0.000525,0.003628,0.004453,0.00189,0.005364,0.002527,0.002909,0.001253,0.0014
131,-0.0016,0.00138,0.027475,0.024366,0.002341,0.003667,0.005423,0.004561,0.002975,0.002183,0.004305,-0.000277,0.00103,0.002299
132,0.002792,0.001793,0.027925,0.024213,0.002442,8e-05,0.004519,0.002767,-0.000617,0.003805,0.00398,0.002303,0.004446,0.005319
133,0.002529,0.000653,0.029045,0.024512,0.000997,0.005035,0.003053,0.003052,0.001365,-0.002565,0.005015,0.00089,0.000187,0.016227
134,0.00334,0.000914,0.02725,0.025681,0.003293,0.003554,0.002748,-0.002309,0.004296,0.001359,0.004175,0.001025,0.000836,0.002272
135,0.000152,0.001628,0.027556,0.021722,0.003,0.002831,0.00038,0.003951,0.001517,0.005489,0.006081,0.002137,0.002668,0.003115
136,0.001739,0.001619,0.029872,0.025087,0.002495,0.003072,0.001242,0.001575,0.001959,0.004677,0.001077,0.005601,0.005566,0.003491
137,0.00082,-0.002404,0.027225,0.025746,0.002413,0.0014,0.004711,0.004881,0.003658,0.002465,0.00458,-0.002567,-0.000154,0.001484
138,0.003819,0.001257,0.029545,0.023943,0.002879,-8.1e-05,0.002769,0.003388,-0.002329,0.006106,0.004728,0.001452,0.002813,0.002174
139,0.003509,-0.000468,0.02944,0.024885,0.002708,0.00391,0.002959,-0.000157,-0.001114,0.004057,0.003038,0.003093,-0.001658,0.008394
140,0.001681,0.00197,0.027965,0.023999,0.00197,0.003759,0.003741,0.002225,0.00263,0.002685,0.001731,0.001074,-0.000573,0.007968
141,0.003536,0.002287,0.028968,0.023867,0.002173,0.002888,0.003647,0.001497,9e-05,0.004194,-0.000737,0.00596,0.001102,-0.001367
142,0.003647,-0.00122,0.031548,0.0218,0.001842,0.004074,0.000275,0.003719,0.003519,-0.000507,0.000196,0.004535,-0.0013,0.00976
143,0.002196,0.001676,0.030676,0.02505,0.003756,0.002337,0.003019,0.000494,0.000265,0.005376,0.00291,0.00211,0.002557,0.002101
144,0.000989,0.00045,0.026768,0.025193,0.002483,0.003129,0.003629,0.000173,0.005239,0.002367,0.000531,0.00196,0.006914,0.004472
145,0.00036,-0.002565,0.02808,0.023132,0.003424,0.003345,0.004645,0.001515,0.001365,0.003008,0.003732,-0.000307,0.001772,0.006852
146,0.003722,0.001137,0.028695,0.02631,0.000662,0.001874,0.000255,0.003752,0.006972,0.003485,0.002435,0.001739,-0.005691,0.007933
147,0.000646,0.000725,0.029102,0.025071,0.002693,0.004069,0.002939,0.001177,0.001298,0.001525,0.005628,0.003764,0.000836,0.010286
148,0.000954,-0.000665,0.028968,0.02279,0.002081,0.00342,0.003003,0.000981,0.003408,0.003291,0.004131,0.002656,0.002406,0.004391
149,0.002207,0.002817,0.028135,0.02403,0.003172,0.001202,0.004881,0.003275,-0.000805,0.000444,0.003476,0.005196,0.005028,-0.002144
150,0.001429,-0.001389,0.031541,0.023665,0.004101,0.004083,0.001937,0.004003,0.001949,-0.000156,0.002709,-0.000348,0.001744,0.002484
151,0.001533,0.00096,0.027956,0.023588,0.00091,0.002677,0.001478,0.001288,0.00627,0.003413,-0.000239,0.007551,0.005866,0.004622
152,0.000937,-0.000454,0.02644,0.0257,0.001963,0.00318,0.000565,0.003418,0.003949,0.00064,0.004223,0.003578,0.007341,0.007397
153,0.00504,0.000104,0.028954,0.023114,0.003301,0.001553,0.003787,-0.001694,0.004458,0.000912,0.001912,0.002246,-0.000694,-0.001737
154,0.002883,0.000951,0.028412,0.024597,0.003562,0.002491,0.001864,0.003444,0.002804,0.001075,-0.00296,0.002408,0.005411,0.006303
155,0.000998,-0.000254,0.029509,0.023242,0.002958,0.003993,0.002302,-0.001069,0.005776,0.002077,0.003943,0.00027,0.00405,0.006472
156,0.004816,-0.00184,0.029474,0.022508,0.003829,0.001895,0.002485,0.003562,0.00187,0.000747,0.003281,-0.002622,-0.003956,-0.001981
157,0.003604,0.002635,0.028646,0.023154,0.000974,0.00438,0.000114,0.004312,0.000734,0.004034,0.001672,0.000457,0.004968,0.001079
158,0.004278,0.001182,0.029714,0.024399,0.001827,0.001897,0.001541,-0.001042,0.005999,0.003815,0.003357,6.9e-05,0.002701,0.002134
159,0.001788,-0.000503,0.028289,0.022523,0.001241,0.0007,0.003478,0.001557,0.001308,0.005081,0.004442,0.008583,0.002146,0.005512
160,0.000247,0.000323,0.026972,0.02595,0.002469,0.004021,0.000972,0.003185,0.004009,0.003618,0.003078,0.000734,0.004153,0.00495
161,0.001279,0.002748,0.027566,0.02664,0.002671,0.004751,0.00097,0.002257,0.003228,-0.002293,0.007718,0.002295,0.004756,0.001416
162,0.003478,0.00073,0.026885,0.022774,0.003657,2.1e-05,0.002455,0.001087,0.002581,0.003136,0.006106,0.00063,0.002182,-0.000452
163,0.00213,-0.001373,0.029045,0.023647,0.004438,0.001641,-7.8e-05,0.003134,0.003361,0.003546,0.001172,0.004414,-0.002529,0.008988
164,0.00446,-0.000677,0.029691,0.02243,-0.000641,0.003373,0.003676,0.002784,0.000373,0.001076,0.000792,0.00606,0.005832,0.000874
165,0.00158,0.000888,0.030177,0.023074,0.002549,0.003683,0.00233,-0.000218,0.001753,0.001284,0.003483,0.004507,0.011539,0.002919
166,0.001757,0.002952,0.027569,0.024879,0.004093,0.003159,0.003548,0.000598,0.003603,0.003674,-0.000178,-0.000691,-0.002638,0.01041
167,0.000689,0.001639,0.028367,0.024799,0.002211,0.00329,0.003227,0.003981,0.002876,0.003496,0.000388,0.001939,0.003431,0.001633
168,0.002765,0.000687,0.028549,0.025085,0.00104,0.002941,0.003049,0.002427,-0.001613,0.004618,0.005342,0.000418,0.001669,0.015503
169,0.000261,0.001902,0.027526,0.025573,0.003613,0.000733,0.005373,0.005105,-0.000823,0.004674,-0.004693,0.006416,0.009232,0.001756
170,0.001368,-0.000756,0.028421,0.023223,0.002426,0.003797,0.004735,0.002402,0.004753,0.001916,-0.002622,0.003089,0.000396,-0.002273
171,0.001012,0.001564,0.02637,0.026269,-0.000975,0.002573,0.003595,0.003758,0.004342,0.000866,0.003042,0.006895,0.009044,0.002575
172,0.001807,-0.000343,0.027557,0.025324,0.003086,0.004565,-0.000408,0.001963,0.003557,0.003329,0.00087,0.00348,0.001471,0.006444
173,0.003279,-0.002085,0.026655,0.025738,0.004212,0.001581,0.00191,0.001391,0.002345,0.003373,0.000586,0.001821,0.001676,0.003914
174,0.002222,-0.000854,0.028383,0.022775,0.002565,0.003669,0.001618,0.004732,0.001349,0.003356,0.001218,-0.000414,0.003884,-0.00189
175,0.001355,-0.001486,0.027578,0.024379,0.003064,0.003034,0.001969,0.004176,0.00593,0.000105,-0.003243,0.001713,0.004123,0.009532
176,-0.000756,-0.000696,0.026253,0.025564,0.000755,0.005289,0.002585,0.001456,0.004429,0.002416,0.00737,0.003531,-0.001294,0.009767
177,8e-06,-0.001046,0.026616,0.025241,0.005686,0.000715,0.002229,0.00465,0.005609,0.000384,0.0018,-0.001977,0.003511,0.006069
178,0.000982,-0.00027,0.027658,0.022447,0.00217,0.004333,0.004299,0.007008,0.000954,-0.001,0.004192,0.003148,-0.009499,0.000651
179,0.003933,0.000723,0.028239,0.024393,0.005953,0.000502,0.000695,0.001901,0.002498,0.002826,0.001931,0.001108,0.000136,-0.003181
180,0.002547,0.001765,0.028317,0.027286,0.003275,0.003379,0.004132,0.003872,0.000462,0.001872,-0.003285,0.00328,-0.001251,0.006204
181,0.002463,0.000402,0.025447,0.024597,0.003704,0.003285,0.002778,0.001449,0.003255,0.00497,-0.000908,-0.000532,-0.00079,-4.3e-05
182,0.002971,-0.001535,0.027988,0.021592,0.003348,0.002479,0.000788,0.001297,0.000411,0.005043,0.001946,0.000843,0.009875,0.001999
183,0.002117,-0.000576,0.027572,0.021857,0.002804,0.000832,0.002706,0.003883,0.002701,0.005903,0.00127,-0.0025,0.006168,0.000297
184,0.003562,-0.001455,0.02681,0.026072,0.002847,0.000955,0.002349,0.002219,0.001441,0.002932,0.004757,0.001537,0.001175,0.004056
185,0.003801,0.000394,0.028368,0.022949,0.002692,-1.7e-05,0.004228,0.003654,-0.001297,0.000262,0.003235,0.00422,0.00159,0.013225
